ticker,date,close,atr,c1,grav,grav_slope,grav_shift5atr,c2,volidx,volidx_slope,volidx_prev,c3,atr_pct,sd60_pct,vcp,vcp_slope,vcp_grade,c4,clock,theta,cycle,cyc_prog,cyc_days,c5,c5_days,hist,hist_prev,hist_trough,still_light,c6,dist_grav_pct,dist_grav_atr,lr_line,dist_lr_pct,dist_lr_atr,turnover20_m,data_warn,bar_src,lr_dir,struct,mk,inBox,bars,score,symbol_used,lists
MEOH,2026-09-24,59.77,2.17,True,60.16,0.108,0.35,True,77.3,0.81,76.5,True,3.63,2.61,55.6,-3.4,B 上升結構,False,5:13,156.3,跌,37.0,5,True,0.0,-0.5214,-0.5623,-0.5623,True,True,-0.66,-0.18,58.72,1.76,0.48,52.8,,OHLC,↑,HH/HL,UT,False,268,5,MEOH,Combined_R22
REPX,2026-09-24,41.69,1.49,True,41.35,0.101,0.79,True,79.7,0.75,79.0,True,3.58,2.21,52.1,-1.5,B 上升結構,False,4:50,144.9,跌,30.0,4,True,0.0,-0.4388,-0.449,-0.449,True,True,0.82,0.23,40.2,3.57,1.0,17.4,,OHLC,↑,HH/HL,UT,False,268,5,REPX,MP_R21
APPN,2026-09-24,37.61,1.97,True,37.79,0.1,0.49,True,60.0,0.2,59.8,False,5.23,4.4,55.7,-2.3,B 上升結構,True,8:49,264.6,跌,123.0,16,True,1.0,-0.3055,-0.3263,-1.1783,True,True,-0.48,-0.09,39.89,-6.06,-1.16,34.8,,OHLC,—,HH/HL,次級反彈,False,268,5,APPN,MP_R21_差一項
CHEF,2026-09-24,110.36,3.63,False,111.25,-0.001,-0.02,True,80.6,0.65,80.0,True,3.29,2.33,88.9,8.3,A 待突破,True,8:49,264.6,跌,242.0,29,True,1.0,-0.4632,-0.5878,-0.9269,True,True,-0.8,-0.24,110.85,-0.44,-0.13,76.7,,OHLC,↓,LH/LL,自然回檔,False,268,5,CHEF,SubSector_R12
CME,2026-09-24,268.91,5.54,True,275.77,0.224,0.21,True,90.5,0.16,90.3,True,2.06,1.57,36.7,-0.5,C 基底修復,True,8:49,264.6,跌,124.0,14,False,1.0,-1.6979,-1.6851,-1.8126,False,True,-2.55,-1.24,277.74,-3.28,-1.59,534.5,,OHLC,↓,LH/LL,DT,False,268,5,CME,SubSector_R12+Combined_R22
FET,2026-09-24,83.64,3.17,True,81.19,0.016,0.22,True,69.9,0.75,69.1,False,3.79,3.87,76.0,-0.1,E 延伸,True,8:49,264.6,跌,287.0,24,True,1.0,-0.4261,-0.56,-1.3724,True,True,2.93,0.77,80.69,3.53,0.93,15.9,,OHLC,—,HH/HL,UT,True,268,5,FET,MP_R21_差一項
FROG,2026-09-24,94.2,5.17,True,92.88,0.218,0.22,True,61.3,0.94,60.4,False,5.49,3.87,77.8,-1.4,B 上升結構,True,8:49,264.6,跌,135.0,16,True,1.0,-0.0069,-0.1606,-2.3224,True,True,1.41,0.26,92.13,2.2,0.4,183.6,,OHLC,—,LH/LL,UT,True,268,5,FROG,MP_R21_差一項
MANH,2026-09-24,209.63,6.98,True,209.19,0.635,0.37,True,74.2,0.34,73.8,False,3.33,3.51,74.6,-0.5,A 待突破,True,8:49,264.6,跌,225.0,16,True,1.0,-1.5472,-1.6878,-3.4951,True,True,0.21,0.06,212.03,-1.14,-0.34,136.1,,OHLC,—,LH/LL,自然回檔,True,268,5,MANH,MP_R21_差一項
MNDY,2026-09-24,86.0,5.08,True,90.72,0.147,0.07,True,57.3,0.72,56.6,False,5.91,4.32,27.1,1.4,D 趨勢弱,True,8:49,264.6,跌,129.0,14,True,1.0,-0.8561,-0.8931,-1.8335,True,True,-5.49,-0.93,87.96,-2.28,-0.39,102.6,,OHLC,↓,LH/LL,DT,False,268,5,MNDY,Combined_R22
NSIT,2026-09-24,159.73,6.23,True,155.75,0.196,0.26,False,76.6,-0.03,76.6,True,3.9,2.49,70.5,8.8,A 待突破,True,8:49,264.6,跌,289.0,26,True,1.0,-1.0407,-1.219,-1.3199,True,True,2.49,0.64,160.72,-0.62,-0.16,57.6,,OHLC,↑,HH/HL,次級反彈,False,268,5,NSIT,MP_R21_差一項
PRU,2026-09-24,118.75,2.37,False,120.0,-0.113,-0.28,True,92.0,0.2,91.8,True,1.99,1.29,57.2,3.7,C 基底修復,True,8:49,264.6,跌,417.0,36,True,1.0,-0.1214,-0.2173,-0.9553,True,True,-1.05,-0.53,119.77,-0.86,-0.43,188.6,,OHLC,—,LH/LL,DT,True,268,5,PRU,SubSector_R12
WDAY,2026-09-24,190.99,8.31,True,196.59,0.708,0.3,True,66.0,0.31,65.7,False,4.35,4.07,64.5,1.5,C 基底修復,True,8:49,264.6,跌,177.0,22,True,1.0,-1.3905,-1.4718,-3.4876,True,True,-2.93,-0.67,187.76,1.69,0.39,675.9,,OHLC,—,HH/HL,次級反彈,True,268,5,WDAY,SubSector_R12
WELL,2026-09-24,233.61,5.0,True,235.6,0.255,-0.12,False,91.2,-0.22,91.4,True,2.14,1.33,49.8,2.2,C 基底修復,True,8:49,264.6,跌,113.0,14,True,1.0,-0.5034,-0.8001,-2.4457,True,True,-0.85,-0.4,240.31,-2.87,-1.34,652.2,,OHLC,—,LH/LL,自然反彈,True,268,5,WELL,SubSector_R12
CRM,2026-09-24,238.22,8.95,True,236.6,1.23,0.65,True,71.2,0.73,70.4,False,3.76,3.65,54.9,-1.0,E 延伸,True,8:22,251.2,跌,90.0,11,True,1.0,-4.1402,-4.3354,-4.3913,True,True,0.68,0.18,259.43,-8.9,-2.37,4239.2,,OHLC,↓,LH/LL,自然反彈,False,268,5,CRM,AI_R13+SubSector_R12+Combined_R22+MP_R21_差一項
NHC,2026-09-24,221.6,6.42,True,224.51,0.107,0.12,True,84.4,0.02,84.4,True,2.9,1.99,60.3,-11.3,C 基底修復,True,7:42,231.2,跌,78.0,5,False,1.0,-0.3105,-0.1626,-1.9736,False,True,-1.31,-0.45,220.54,0.48,0.17,24.0,,OHLC,—,HH/HL,自然回檔,True,268,5,NHC,Combined_R22
OXY,2026-09-24,58.05,1.59,False,59.76,-0.03,0.03,True,84.4,0.32,84.1,True,2.74,2.16,44.5,4.6,C 基底修復,True,7:18,219.2,跌,72.0,7,True,1.0,-0.5777,-0.6551,-0.661,True,True,-2.94,-1.08,58.41,-0.62,-0.23,503.1,,OHLC,—,HH/HL,自然反彈,False,268,5,OXY,SubSector_R12+Combined_R22
XOM,2026-09-24,162.14,3.8,True,162.49,0.109,0.21,True,88.9,0.08,88.9,True,2.34,1.62,60.0,0.9,A 待突破,False,5:49,174.7,跌,47.0,6,True,1.0,-0.7124,-0.8356,-1.0846,True,True,-0.22,-0.09,159.47,1.65,0.7,2382.5,,OHLC,↑,HH/HL,自然反彈,False,268,5,XOM,SubSector_R12+Combined_R22+RateHike_R2_迴避
CNI,2026-09-24,119.92,2.12,False,123.41,-0.211,-0.52,True,93.7,0.05,93.6,True,1.77,1.1,56.0,0.6,C 基底修復,True,8:49,264.6,跌,438.0,40,True,2.0,-0.1549,-0.2771,-0.8509,True,True,-2.91,-1.65,123.09,-2.64,-1.5,175.3,,OHLC,↓,LH/LL,自然反彈,False,268,5,CNI,Combined_R22
FCFS,2026-09-24,216.4,6.97,True,221.75,0.217,0.21,True,80.2,0.69,79.6,True,3.22,2.47,66.5,13.2,A 待突破,True,7:38,228.8,跌,77.0,8,False,2.0,-1.0797,-1.0482,-1.1607,False,True,-2.47,-0.77,215.54,0.4,0.12,87.9,,OHLC,↑,HH/HL,次級回檔,False,268,5,FCFS,Combined_R22
ROKU,2026-09-24,153.33,1.99,True,155.99,0.069,0.32,True,96.0,0.13,95.9,True,1.3,0.93,84.0,-1.1,A 待突破,True,8:49,264.6,跌,170.0,20,False,3.0,-0.6345,-0.6506,-1.0296,True,True,-1.73,-1.34,157.45,-2.69,-2.07,352.2,,OHLC,—,LH/LL,次級回檔,False,268,5,ROKU,SubSector_R12
AII,2026-09-24,25.33,0.94,True,25.8,0.156,0.62,True,77.6,0.7,76.9,True,3.7,2.49,61.0,2.5,A 待突破,True,8:49,264.6,跌,138.0,17,False,5.0,-0.3112,-0.2984,-0.3112,False,True,-1.86,-0.5,26.2,-3.43,-0.93,5.9,,OHLC,—,LH/LL,DT,True,268,5,AII,MP_R21_差一項
GAP,2026-09-24,21.69,0.79,True,21.47,0.029,0.07,True,76.6,0.61,76.0,True,3.66,2.72,27.4,-3.1,D 趨勢弱,True,8:49,264.6,跌,111.0,11,False,5.0,-0.0166,-0.0604,-0.2131,True,True,1.03,0.28,21.51,0.83,0.23,187.6,,OHLC,↓,LH/LL,自然反彈,False,268,5,GAP,Combined_R22
LNG,2026-09-24,276.28,7.65,True,278.58,0.212,0.14,True,85.4,0.38,85.0,True,2.77,1.94,56.7,2.1,A 待突破,True,8:49,264.6,跌,155.0,13,False,5.0,-1.1436,-1.5947,-2.9031,True,True,-0.83,-0.3,283.55,-2.63,-0.95,638.5,,OHLC,—,LH/LL,UT,False,268,5,LNG,SubSector_R12
MSFT,2026-09-24,497.93,10.98,True,495.79,0.034,-0.06,True,85.9,0.06,85.8,True,2.21,2.4,70.7,1.1,A 待突破,True,8:49,264.6,跌,193.0,27,False,5.0,-2.0113,-2.0794,-3.9416,True,True,0.43,0.2,505.41,-1.5,-0.68,10676.2,,OHLC,—,LH/LL,自然反彈,True,268,5,MSFT,AI_R13+SubSector_R12+Combined_R22
REGN,2026-09-24,796.02,19.27,True,807.35,0.068,0.0,True,87.3,0.02,87.2,True,2.42,1.9,56.8,-1.5,A 待突破,True,8:49,264.6,跌,183.0,21,False,5.0,-3.1072,-3.55,-10.1122,True,True,-1.42,-0.59,794.19,0.23,0.09,565.3,,OHLC,—,HH/HL,UT,True,268,5,REGN,SubSector_R12+Combined_R22+MP_R21_差一項
RGLD,2026-09-24,252.49,7.38,True,252.85,0.65,0.63,True,82.9,0.39,82.5,True,2.92,2.26,43.9,-2.2,C 基底修復,True,8:49,264.6,跌,152.0,16,False,5.0,-1.886,-2.0365,-3.6054,True,True,-0.14,-0.05,258.29,-2.3,-0.79,173.9,,OHLC,—,LH/LL,自然回檔,True,268,5,RGLD,SubSector_R12
MRK,2026-09-24,147.98,3.55,True,147.66,0.534,0.65,True,86.0,0.0,86.0,True,2.4,2.17,64.6,-4.3,A 待突破,True,8:49,264.6,跌,133.0,14,False,6.0,-0.495,-0.4941,-1.5538,False,True,0.22,0.09,152.8,-3.26,-1.36,1461.3,,OHLC,—,LH/LL,UT,False,268,5,MRK,SubSector_R12+Combined_R22
