ticker,date,close,atr,c1,grav,grav_slope,grav_shift5atr,c2,volidx,volidx_slope,volidx_prev,c3,atr_pct,sd60_pct,vcp,vcp_slope,vcp_grade,c4,clock,theta,cycle,cyc_prog,cyc_days,c5,c5_days,hist,hist_prev,hist_trough,still_light,c6,dist_grav_pct,dist_grav_atr,lr_line,dist_lr_pct,dist_lr_atr,turnover20_m,bar_src,lr_dir,struct,mk,inBox,bars,score,symbol_used,lists
HRZN,2026-09-21,4.66,0.15,True,4.84,0.003,0.24,True,81.9,0.88,81.0,True,3.24,2.15,22.4,13.6,D 趨勢弱,False,5:14,157.0,跌,37.0,5,True,0.0,-0.026,-0.0262,-0.0522,True,False,-3.87,-1.19,4.53,2.79,0.86,3.2,OHLC,↑,HH/HL,自然反彈,False,265,4,HRZN,10MA_R20_跌出
CRVL,2026-09-21,71.83,2.04,True,68.68,0.246,1.01,True,85.4,0.54,84.9,True,2.84,1.85,58.3,1.1,B 上升結構,False,5:05,152.6,跌,35.0,3,True,0.0,-0.0037,-0.0528,-0.5382,True,False,4.38,1.54,71.33,0.7,0.25,14.6,OHLC,—,LH/LL,自然回檔,False,265,4,CRVL,10MA_R20
SNAP,2026-09-21,5.7,0.29,True,5.5,0.014,0.31,True,64.5,0.59,64.0,False,5.06,3.64,36.0,-2.7,D 趨勢弱,False,4:09,124.7,跌,19.0,2,True,0.0,-0.0083,-0.0093,-0.0266,True,True,3.58,0.71,5.53,2.98,0.59,208.4,OHLC,↑,HH/HL,自然反彈,False,265,4,SNAP,SubSector_R12
ROK,2026-09-21,424.89,11.12,False,429.14,-1.011,-0.88,True,86.8,0.54,86.2,True,2.62,1.8,41.1,14.4,C 基底修復,True,9:54,297.2,升,15.0,1,False,1.0,0.3915,-0.4173,,False,True,-1.0,-0.38,433.81,-2.1,-0.8,311.4,OHLC,↓,LH/LL,自然反彈,False,265,4,ROK,SubSector_R12
BMY,2026-09-21,62.62,1.36,False,65.04,-0.037,-0.4,True,89.3,0.24,89.1,True,2.17,1.71,46.3,2.1,C 基底修復,True,8:49,264.6,跌,206.0,16,True,1.0,-0.517,-0.5386,-0.6275,True,False,-3.86,-1.78,,,,572.4,OHLC,—,HH/HL,DT,False,265,4,BMY,SubSector_R12
BNY,2026-09-21,153.89,3.08,False,159.48,-0.166,-0.53,True,91.6,0.22,91.4,True,2.0,1.37,54.8,1.5,C 基底修復,True,8:49,264.6,跌,211.0,23,True,1.0,-1.2771,-1.3705,-1.3975,True,False,-3.63,-1.81,160.39,-4.22,-2.11,522.7,OHLC,↓,LH/LL,DT,False,265,4,BNY,Combined_R22
BRO,2026-09-21,64.3,1.88,False,69.48,-0.247,-0.74,True,83.0,0.04,83.0,True,2.93,2.23,9.2,-1.7,D 趨勢弱,True,8:49,264.6,跌,186.0,17,True,1.0,-0.6781,-0.6912,-0.9092,True,False,-8.06,-2.75,68.33,-6.27,-2.14,126.5,OHLC,↓,LH/LL,DT,False,265,4,BRO,SubSector_R12
CBOE,2026-09-21,271.43,9.91,False,291.18,-0.567,-0.41,True,78.3,0.38,77.9,True,3.65,2.41,13.9,-4.8,D 趨勢弱,True,8:49,264.6,跌,139.0,13,True,1.0,-3.3473,-3.7822,-4.2771,True,False,-7.28,-1.99,264.91,2.4,0.66,282.8,OHLC,—,HH/HL,自然反彈,False,265,4,CBOE,SubSector_R12
COF,2026-09-21,204.92,4.76,False,213.71,-0.399,-0.73,True,88.6,0.48,88.1,True,2.32,1.72,21.7,5.4,D 趨勢弱,True,8:49,264.6,跌,157.0,23,True,1.0,-1.3482,-1.6586,-1.7423,True,False,-4.29,-1.85,220.5,-7.6,-3.27,694.1,OHLC,↓,LH/LL,DT,False,265,4,COF,SubSector_R12
FBP,2026-09-21,27.46,0.5,False,28.21,-0.028,-0.62,True,93.0,0.17,92.9,True,1.82,1.21,51.8,-0.3,C 基底修復,True,8:49,264.6,跌,232.0,33,False,1.0,-0.0733,-0.0704,-0.2538,False,True,-2.73,-1.5,28.43,-3.53,-1.94,37.2,OHLC,↓,LH/LL,DT,False,265,4,FBP,Combined_R22
